chord,chord_root,chord_triad,chord_addition,chord_duration
C#,C#,None,None,0.046439909
Ab,Ab,None,None,1.34675737
A,A,None,None,0.3250793649999999
E,E,None,None,1.764716553
B,B,None,None,1.8111564630000005
F#7,F#,None,7,1.7182766439999995
Ab7,Ab,None,7,1.3467573690000005
A,A,None,None,0.417959183999999
E,E,None,None,1.7182766440000012
F#7,F#,None,7,3.6223129249999992
A,A,None,None,1.8575963719999997
E,E,None,None,1.6718367349999994
B,B,None,None,1.8575963719999997
E,E,None,None,0.7894784580000014
F#7,F#,None,7,0.32507936500000056
A,A,None,None,2.461315193000001
Emaj7,E,maj,7,1.5789569159999992
F#,F#,None,None,3.575873015999999
A,A,None,None,1.7182766439999995
E,E,None,None,1.8575963709999996
Baug,B,aug,None,1.7647165539999996
E,E,None,None,0.8823582759999979
F#m,F#,m,None,0.8823582770000016
A,A,None,None,1.7647165529999995
E,E,None,None,1.5789569160000028
D,D,None,None,3.6223129259999993
Aaug,A,aug,None,1.9504761900000034
E,E,None,None,1.5789569159999957
B,B,None,None,1.7182766439999995
D,D,None,None,1.950476191
A,A,None,None,1.7182766439999995
F#m,F#,m,None,1.2074376410000056
B,B,None,None,0.6965986399999977
C#m,C#,m,None,3.390113378999999
A,A,None,None,1.6253968250000028
