chord,chord_root,chord_triad,chord_addition,chord_duration
D7,D,None,7,0.092879819
Cm7b5,C,m7b,5,3.808072562
D7,D,None,7,3.761632653
Cm7b5,C,m7b,5,3.9009523810000006
D,D,None,None,3.8080725619999996
C,C,None,None,3.8080725630000014
F,F,None,None,1.8111564619999996
D,D,None,None,2.1362358280000002
C,C,None,None,3.7616326529999995
F,F,None,None,1.9040362809999998
D,D,None,None,1.9969161
Cm,C,m,None,3.9473922899999963
F,F,None,None,1.6253968260000065
D,D,None,None,2.136235826999993
Cm,C,m,None,3.7616326530000066
F,F,None,None,1.811156462999996
D,D,None,None,2.043356009
Dm7b5,D,m7b,5,3.668752834000003
F,F,None,None,1.9969161
D,D,None,None,2.043356009
Cmaj7,C,maj,7,3.808072562999996
F,F,None,None,1.7182766439999995
