chord,chord_root,chord_triad,chord_addition,chord_duration
Em7,E,m,7,0.046439909
A,A,None,None,7.987664399
Em7,E,m,7,0.4643990930000008
C,C,None,None,2.6470748299999993
B7,B,None,7,2.7399546489999995
Baug,B,aug,None,2.3684353740000006
C7,C,None,7,0.4643990930000008
B7,B,None,7,2.879274375999998
G7,G,None,7,2.507755102000001
F#7,F#,None,7,3.018594105000002
G7,G,None,7,2.786394557999998
F#7,F#,None,7,2.7863945570000013
A7,A,None,7,2.7399546490000013
G,G,None,None,2.879274375999998
A7,A,None,7,2.786394557999998
B7,B,None,7,2.739954649000005
E7,E,None,7,2.832834466999998
G,G,None,None,1.486077096999999
Eb,Eb,None,None,0.4179591839999972
E7,E,None,7,0.8823582770000016
F7,F,None,7,1.9504761900000034
E7,E,None,7,0.8359183669999979
Eb,Eb,None,None,1.950476191
B7,B,None,7,0.7894784579999978
A7,A,None,7,0.7430385490000049
Em7,E,m,7,0.8359183669999979
