chord,chord_root,chord_triad,chord_addition,chord_duration
Bm,B,m,None,0.325079365
Dmaj7,D,maj,7,2.6006349209999997
G6,G,None,6,2.2755555550000004
Bm7,B,m,7,3.065034014
Dmaj7,D,maj,7,1.8575963719999997
Em7,E,m,7,2.089795918
G,G,None,None,1.4396371880000007
Bm7,B,m,7,1.7647165539999996
Dmaj7,D,maj,7,1.625396825000001
Em7,E,m,7,2.229115645999997
G,G,None,None,1.2538775510000022
B,B,None,None,2.2755555560000005
Dmaj7,D,maj,7,1.5789569159999992
G6,G,None,6,1.9969161
B,B,None,None,3.6223129249999992
Dmaj7,D,maj,7,1.6718367349999994
G6,G,None,6,2.0897959180000036
B,B,None,None,3.482993196999999
Dmaj7,D,maj,7,1.4860770979999955
Gmaj7,G,maj,7,1.8575963720000033
G,G,None,None,3.1114739229999984
Gmaj7,G,maj,7,2.832834466999998
Bm,B,m,None,0.9287981860000016
Gmaj7,G,maj,7,3.575873014999999
Bm7,B,m,7,3.250793651000002
B,B,None,None,3.436553287999999
F#m,F#,m,None,1.6253968259999994
