chord,chord_root,chord_triad,chord_addition,chord_duration
Bm,B,m,None,0.046439909
F#,F#,None,None,2.414875284
B,B,None,None,0.6501587300000002
Em,E,m,None,0.46439909299999993
F#7,F#,None,7,0.7894784579999996
Bm,B,m,None,0.557278911
Bbaug,Bb,aug,None,2.3219954650000005
Bm,B,m,None,0.6965986399999995
Em,E,m,None,0.3715192740000006
F#,F#,None,None,1.2074376420000004
Bm,B,m,None,1.3467573699999988
C#,C#,None,None,0.6501587300000011
Bm,B,m,None,0.6037188209999993
B,B,None,None,0.6965986389999994
C#m7,C#,m,7,0.4643990930000008
C#,C#,None,None,0.6501587299999994
Bm,B,m,None,0.4643990930000008
Ebm,Eb,m,None,0.6037188209999993
Em,E,m,None,0.6501587300000011
C#,C#,None,None,0.5108390019999991
F#m,F#,m,None,0.557278912000001
F#,F#,None,None,0.6037188209999975
Gmaj7,G,maj,7,0.5572789110000009
Abm,Ab,m,None,0.6037188210000011
A,A,None,None,0.557278912000001
Bbaug,Bb,aug,None,0.5572789109999974
Bm7,B,m,7,0.6037188210000011
Em,E,m,None,1.0681179139999983
F#m,F#,m,None,1.114557823000002
Gmaj7,G,maj,7,0.6501587300000011
A,A,None,None,0.6037188209999975
Gmaj7,G,maj,7,0.6965986400000013
A7,A,None,7,0.9752380949999981
D,D,None,None,0.3715192740000006
C#7,C#,None,7,2.693514739000001
Bm,B,m,None,0.510839003000001
C#7,C#,None,7,4.0402721089999964
F#,F#,None,None,0.5572789110000045
Bm,B,m,None,0.5108390019999973
G,G,None,None,0.6501587309999977
Bm,B,m,None,0.7430385480000012
B7,B,None,7,2.136235828000004
Em,E,m,None,0.5108390019999973
C#7,C#,None,7,0.557278912000001
F#,F#,None,None,0.5108390019999973
Bm,B,m,None,1.160997733000002
B,B,None,None,0.5108390019999973
Em,E,m,None,0.6037188210000011
F#maj7,F#,maj,7,1.0681179140000054
Bm,B,m,None,1.3931972779999953
B7,B,None,7,0.6501587310000048
G6,G,None,6,0.5572789109999974
Abm6,Ab,m,6,0.6037188210000011
F#,F#,None,None,0.557278912000001
B7,B,None,7,0.7430385479999941
Em,E,m,None,0.7430385490000049
C#7,C#,None,7,0.6037188210000011
F#,F#,None,None,0.5108390019999973
Bm,B,m,None,1.3003174609999988
Gmaj7,G,maj,7,0.6501587300000011
Em6,E,m,6,0.6501587300000011
B,B,None,None,0.7430385489999978
Bm,B,m,None,1.9040362810000033
