chord,chord_root,chord_triad,chord_addition,chord_duration
A7,A,None,7,0.139319728
F,F,None,None,2.832834467
E7,E,None,7,3.668752834
Amaj7,A,maj,7,0.8359183679999997
Dm7b5,D,m7b,5,6.2693877549999995
Adim,A,dim,None,1.2538775510000004
Ebm,Eb,m,None,1.8575963720000015
Am,A,m,None,1.6718367349999994
Bm7b5,B,m7b,5,2.647074829000001
Amaj7,A,maj,7,0.9287981859999981
Am,A,m,None,6.687346939000001
Adim,A,dim,None,1.2538775509999986
Am,A,m,None,0.9752380950000017
F,F,None,None,6.315827664999997
Fm,F,m,None,1.5325170070000027
Am,A,m,None,0.9752380950000017
Amaj7,A,maj,7,4.504671201999997
Abmaj7,Ab,maj,7,5.433469387000002
A7,A,None,7,2.1362358279999967
F#6,F#,None,6,1.439637187999999
F,F,None,None,1.1145578230000055
Am7,A,m,7,1.3003174609999988
Cm7b5,C,m7b,5,1.393197278999999
Cmaj7,C,maj,7,0.9287981860000016
D,D,None,None,1.1145578229999984
