chord,chord_root,chord_triad,chord_addition,chord_duration
Abm,Ab,m,None,0.046439909
Eb,Eb,None,None,1.625396826
Bbm,Bb,m,None,1.3467573689999999
Abm,Ab,m,None,0.5108390030000001
Eb,Eb,None,None,2.089795918
Abm,Ab,m,None,0.9752380949999999
Eb,Eb,None,None,1.0681179140000001
Ab,Ab,None,None,1.0216780049999992
C#m,C#,m,None,1.068117913
F#7,F#,None,7,1.1609977330000003
B,B,None,None,1.0681179140000001
Abm,Ab,m,None,0.8823582759999997
Eb,Eb,None,None,1.4396371880000007
Abm,Ab,m,None,0.975238096
Eb,Eb,None,None,1.0681179140000001
Eb7,Eb,None,7,1.3003174599999987
Abm,Ab,m,None,0.7430385490000013
Eb7,Eb,None,7,5.433469386999999
Abm,Ab,m,None,1.9040362819999999
F#,F#,None,None,0.8359183670000014
Abm,Ab,m,None,1.0216780039999982
F#7,F#,None,7,1.114557824000002
Abm,Ab,m,None,0.9752380949999981
F#,F#,None,None,2.043356009
B,B,None,None,0.9752380949999981
Bbm7b5,Bb,m7b,5,0.8823582770000016
B,B,None,None,1.0681179139999983
F#7,F#,None,7,1.1145578230000055
Bmaj7,B,maj,7,1.0216780039999946
Abm,Ab,m,None,2.786394558000005
Eb7,Eb,None,7,1.6253968249999957
Abm,Ab,m,None,1.950476191
Eb,Eb,None,None,2.089795918
Abm,Ab,m,None,0.7894784580000049
Eb,Eb,None,None,1.160997732999995
Cm,C,m,None,0.9752380950000017
Ab7,Ab,None,7,0.4179591839999972
C#m,C#,m,None,0.9287981860000016
F#7,F#,None,7,0.9287981860000016
B,B,None,None,1.1609977319999985
Abm,Ab,m,None,0.8823582770000016
Eb,Eb,None,None,1.439637187999999
Abm,Ab,m,None,0.9752380950000017
Eb,Eb,None,None,1.1145578229999984
C#m6,C#,m,6,1.393197278999999
