chord,chord_root,chord_triad,chord_addition,chord_duration
Bbmaj7,Bb,maj,7,0.046439909
Am6,A,m,6,0.6965986399999999
Bm7b5,B,m7b,5,0.9752380949999999
Ddim,D,dim,None,0.46439909299999993
Am7,A,m,7,0.8823582770000002
Dm,D,m,None,1.3931972789999998
Am,A,m,None,0.9287981849999998
Dm7,D,m,7,1.2538775510000004
Am,A,m,None,1.2538775509999995
Dm,D,m,None,1.1145578240000003
Am,A,m,None,1.2074376410000003
Dm,D,m,None,1.2074376420000004
Am7,A,m,7,1.3003174599999987
Dm,D,m,None,1.2538775510000004
Am,A,m,None,0.975238096
Dm7,D,m,7,1.5325170060000008
Am,A,m,None,0.835918367999998
Dm,D,m,None,1.3467573690000023
Am,A,m,None,1.1609977329999985
C,C,None,None,4.876190476000001
F,F,None,None,4.736870747999998
Bbdim,Bb,dim,None,4.411791384000001
C,C,None,None,0.32507936500000056
F,F,None,None,4.504671201000001
Cmaj7,C,maj,7,3.2972335609999988
Fmaj7,F,maj,7,1.3467573690000023
C,C,None,None,1.0681179139999983
Dm,D,m,None,1.3467573699999988
A,A,None,None,0.9287981860000016
Dm,D,m,None,1.439637187999999
A7,A,None,7,0.9752380950000017
Am,A,m,None,0.6965986390000012
Dm,D,m,None,0.6037188210000011
A,A,None,None,1.1145578229999984
D,D,None,None,1.0681179139999983
Am,A,m,None,1.2538775510000022
D7,D,None,7,1.3467573699999988
Am,A,m,None,1.2538775510000022
Bm7,B,m,7,1.0216780039999946
D,D,None,None,0.3250793660000042
A,A,None,None,0.928798184999998
