chord,chord_root,chord_triad,chord_addition,chord_duration
D,D,None,None,0.092879819
Dm,D,m,None,6.59446712
D,D,None,None,7.291065758999999
G7,G,None,7,1.6253968260000011
D7,D,None,7,1.9969160999999982
G7,G,None,7,1.6253968249999993
D7,D,None,7,1.8111564630000032
Dm7b5,D,m7b,5,1.7647165529999995
G6,G,None,6,0.6037188209999975
D7,D,None,7,1.2538775510000022
C6,C,None,6,9.287981858999999
G7,G,None,7,0.5108390019999973
Dm7,D,m,7,1.2538775510000022
C,C,None,None,2.0433560100000037
Dm7,D,m,7,0.928798184999998
G7,G,None,7,7.105306122999998
D7,D,None,7,2.136235828000004
C6,C,None,6,1.0216780039999946
G7,G,None,7,0.9287981860000016
C6,C,None,6,1.5325170070000027
G7,G,None,7,1.9504761899999963
G,G,None,None,0.7430385490000049
D,D,None,None,1.3467573699999988
Dm7,D,m,7,0.8359183669999979
G,G,None,None,0.8823582770000016
D,D,None,None,0.6501587300000011
Cmaj7,C,maj,7,1.393197278999999
