chord,chord_root,chord_triad,chord_addition,chord_duration
Dm,D,m,None,0.046439909
Dmaj7,D,maj,7,7.476825397
Dm,D,m,None,3.529433107
Am,A,m,None,4.086712018
Gm,G,m,None,3.3901133790000006
Dm7b5,D,m7b,5,3.7616326529999995
G,G,None,None,3.575873014999999
F#m,F#,m,None,3.8545124719999997
F#m7,F#,m,7,2.461315193000001
Faug,F,aug,None,1.0681179139999983
F#m7b5,F#,m7b,5,3.668752834000003
Bmaj7,B,maj,7,2.5541950109999974
Gm,G,m,None,1.2538775519999987
Fm,F,m,None,3.7616326530000066
G,G,None,None,4.179591835999993
Dmaj7,D,maj,7,3.1114739230000055
