chord,chord_root,chord_triad,chord_addition,chord_duration
Bbm,Bb,m,None,0.046439909
F#,F#,None,None,2.507755102
Bbm,Bb,m,None,1.6253968260000002
Ebm6,Eb,m,6,1.1609977319999993
Bbm,Bb,m,None,1.4396371880000007
C#,C#,None,None,2.64707483
F#6,F#,None,6,1.3467573699999988
C#,C#,None,None,1.4396371880000007
C#6,C#,None,6,2.7399546489999995
Cm7,C,m,7,1.1609977320000002
Ab,Ab,None,None,0.7430385490000013
Bbm7,Bb,m,7,1.9040362809999998
F#,F#,None,None,1.7647165529999995
C#maj7,C#,maj,7,0.9752380959999982
Cm7b5,C,m7b,5,1.207437641000002
Ebm,Eb,m,None,0.6037188209999975
F,F,None,None,0.8823582770000016
Am7b5,A,m7b,5,0.9752380950000017
F,F,None,None,0.7894784579999978
Bbm,Bb,m,None,0.9752380950000017
Ebm,Eb,m,None,2.5541950119999974
Bbm,Bb,m,None,1.5789569160000028
Ebm6,Eb,m,6,1.1609977319999985
Bbm,Bb,m,None,1.439637187999999
C#,C#,None,None,2.8792743770000016
F#,F#,None,None,1.1145578229999984
C#,C#,None,None,1.3003174600000023
Bbm,Bb,m,None,2.600634921000001
Ab,Ab,None,None,1.5325170069999956
F#,F#,None,None,2.5541950110000045
Fm,F,m,None,2.7399546489999977
Cm7b5,C,m7b,5,1.486077096999999
F7,F,None,7,1.0216780049999983
Bbm,Bb,m,None,2.6006349200000045
Ebm6,Eb,m,6,2.554195012000001
C#maj7,C#,maj,7,1.3003174599999952
