chord,chord_root,chord_triad,chord_addition,chord_duration
Dm,D,m,None,0.139319728
F,F,None,None,1.021678004
Dm,D,m,None,0.882358277
G7,G,None,7,1.1145578230000002
Dm,D,m,None,0.6501587299999998
F,F,None,None,1.3003174610000001
Dm,D,m,None,0.8359183669999997
C,C,None,None,1.3931972789999998
D,D,None,None,0.6965986390000003
Dm,D,m,None,0.41795918400000076
F,F,None,None,0.5108390019999991
Dm,D,m,None,0.975238096
G7,G,None,7,1.068117913
Dm,D,m,None,0.557278912000001
F,F,None,None,1.393197278999999
Dm,D,m,None,0.8359183669999997
G7,G,None,7,1.1609977330000003
Dm7,D,m,7,0.5108390020000009
C,C,None,None,7.709024943000001
Dm,D,m,None,0.6501587299999976
F,F,None,None,0.8359183680000015
Dm7,D,m,7,1.1145578229999984
F,F,None,None,2.7863945580000014
Dm,D,m,None,1.0681179139999983
G7,G,None,7,1.0681179130000018
Dm7,D,m,7,0.557278912000001
F,F,None,None,1.4396371879999954
Dm,D,m,None,0.835918367000005
F,F,None,None,2.8792743770000016
Dm,D,m,None,1.1609977319999985
G7,G,None,7,1.0216780049999983
Dm,D,m,None,0.6037188210000011
F,F,None,None,1.439637187999999
Dm,D,m,None,0.7894784579999978
G7,G,None,7,1.2074376420000021
Dm,D,m,None,0.5108390019999973
F,F,None,None,1.486077096999999
Dm7,D,m,7,0.8823582770000016
Dm,D,m,None,0.835918367000005
F,F,None,None,2.2755555559999934
Dm,D,m,None,0.9752380950000017
G7,G,None,7,1.1145578229999984
C,C,None,None,0.9752380960000053
F,F,None,None,1.532517005999999
Bbmaj7,Bb,maj,7,1.393197278999999
F,F,None,None,0.6037188210000011
Bbm,Bb,m,None,2.9257142860000016
A,A,None,None,0.46439909299999726
F,F,None,None,0.4179591839999972
