chord,chord_root,chord_triad,chord_addition,chord_duration
Bb7,Bb,None,7,1.207437642
C#,C#,None,None,8.823582766
Eb7,Eb,None,7,0.5108390020000009
Gm7b5,G,m7b,5,0.417959183999999
Bb7,Bb,None,7,3.575873016000001
Bbm7,Bb,m,7,1.2538775509999986
Bb7,Bb,None,7,1.486077097999999
Eb,Eb,None,None,0.7430385480000012
F7,F,None,7,0.4643990930000008
Eb7,Eb,None,7,1.9040362809999998
Bb7,Bb,None,7,1.6718367349999994
F#6,F#,None,6,2.4148752840000007
Bb7,Bb,None,7,0.7430385480000012
Bbm7,Bb,m,7,4.969070294999998
Fm7,F,m,7,1.5325170069999992
Ebmaj7,Eb,maj,7,1.3467573700000024
F7,F,None,7,0.6501587300000011
Bbm,Bb,m,None,0.5108390019999973
Eb7,Eb,None,7,2.043356009
Abmaj7,Ab,maj,7,0.9752380950000017
Bb7,Bb,None,7,0.9287981860000016
F7,F,None,7,3.482993196999999
Eb7,Eb,None,7,2.600634921000001
Gm7,G,m,7,1.950476191
Cm7,C,m,7,2.321995463999997
Bbm,Bb,m,None,1.393197278999999
Am7b5,A,m7b,5,0.510839003000001
Dm7,D,m,7,0.3715192740000006
Bbmaj7,Bb,maj,7,1.2074376420000021
Cm6,C,m,6,2.3684353740000006
Dm7,D,m,7,0.46439909299999726
Gm7,G,m,7,0.6037188210000011
Eb,Eb,None,None,2.6006349199999974
Gm7b5,G,m7b,5,0.37151927500000426
Cm6,C,m,6,1.1145578229999984
