chord,chord_root,chord_triad,chord_addition,chord_duration
Abmaj7,Ab,maj,7,0.046439909
Fm7,F,m,7,3.575873016
C#,C#,None,None,2.8328344669999996
Bb7,Bb,None,7,1.9504761910000008
Ab,Ab,None,None,2.1826757370000003
Fm7,F,m,7,2.600634919999999
C#,C#,None,None,2.3684353750000007
Fm7,F,m,7,1.625396825000001
Bb7,Bb,None,7,0.7430385489999978
Ab6,Ab,None,6,1.8111564619999996
Fm,F,m,None,3.111473923000002
C#,C#,None,None,1.950476191
Bbm7,Bb,m,7,0.8823582759999979
Ab,Ab,None,None,3.018594105000002
Fm,F,m,None,3.2972335599999987
C#,C#,None,None,2.0433560090000036
Fm7,F,m,7,1.8575963719999962
Bb7,Bb,None,7,9.798820861000003
Ab6,Ab,None,6,1.7182766439999995
Fm7,F,m,7,2.2755555560000005
C#,C#,None,None,2.786394557999998
Fm7,F,m,7,1.6718367340000029
Bb7,Bb,None,7,0.46439909299999726
Ab,Ab,None,None,2.1362358279999967
Fm,F,m,None,2.5541950110000045
