chord,chord_root,chord_triad,chord_addition,chord_duration
B,B,None,None,0.046439909
C#m7,C#,m,7,7.755464853
Ebm,Eb,m,None,8.637823129000001
B,B,None,None,1.0681179139999983
B7,B,None,7,3.0185941040000017
E,E,None,None,3.343673469999999
A,A,None,None,3.6223129249999992
Ebaug,Eb,aug,None,0.7894784580000014
B7,B,None,7,0.6965986390000012
E,E,None,None,0.6501587309999977
Abm7b5,Ab,m7b,5,1.8575963709999996
F#,F#,None,None,0.6501587310000012
Ab,Ab,None,None,1.3931972780000024
Abm,Ab,m,None,0.7894784590000015
Bbm,Bb,m,None,1.532517005999999
E6,E,None,6,1.207437641999995
Abm,Ab,m,None,0.8823582770000016
C#m7,C#,m,7,1.6253968250000028
Ebm7,Eb,m,7,1.5325170069999956
Emaj7,E,maj,7,1.7182766439999995
C#m7,C#,m,7,3.9473922900000034
F#,F#,None,None,1.0681179139999983
B6,B,None,6,0.6965986390000012
Bbm7,Bb,m,7,0.557278912000001
B,B,None,None,0.4179591839999972
C#m7,C#,m,7,0.5108390020000044
Abm,Ab,m,None,0.8823582769999945
Ebm,Eb,m,None,1.2074376410000056
C#m,C#,m,None,5.944308389999996
