chord,chord_root,chord_triad,chord_addition,chord_duration
F#maj7,F#,maj,7,0.046439909
Ebm,Eb,m,None,2.136235828
C#6,C#,None,6,4.504671202000001
Abm,Ab,m,None,1.8111564620000005
Bb,Bb,None,None,1.1145578230000002
F#6,F#,None,6,1.393197278999999
Ebm,Eb,m,None,1.3931972790000007
C#6,C#,None,6,6.780226758000001
Fm7b5,F,m7b,5,1.9969160989999999
Bb,Bb,None,None,1.0681179139999983
F#maj7,F#,maj,7,1.393197278999999
Ebm,Eb,m,None,0.6501587300000011
C#6,C#,None,6,5.94430839
Abm,Ab,m,None,3.5294331070000027
Bb,Bb,None,None,1.0681179139999983
F#,F#,None,None,1.486077096999999
Eb7,Eb,None,7,0.557278912000001
F#maj7,F#,maj,7,1.1145578229999984
Ebm,Eb,m,None,2.600634921000001
F#6,F#,None,6,2.1826757369999967
C#6,C#,None,6,1.6253968250000028
Abm6,Ab,m,6,1.9969161
Bb,Bb,None,None,1.1609977319999985
F#,F#,None,None,1.393197278999999
Ebm,Eb,m,None,1.2074376420000021
Emaj7,E,maj,7,5.2012698409999985
Bb7,Bb,None,7,1.950476191
Emaj7,E,maj,7,1.532517005999999
