chord,chord_root,chord_triad,chord_addition,chord_duration
D,D,None,None,0.417959184
C,C,None,None,19.690521542
G,G,None,None,1.5789569159999992
D,D,None,None,2.089795918
G,G,None,None,2.7863945580000014
D7,D,None,7,4.829750566999998
G,G,None,None,2.461315193000001
D,D,None,None,0.8359183669999979
Cm,C,m,None,0.7430385490000049
G,G,None,None,1.6253968249999957
D7,D,None,7,1.950476191
G,G,None,None,2.4148752830000006
F6,F,None,6,1.6253968250000028
G6,G,None,6,1.6253968259999994
Am7,A,m,7,2.089795918
Em,E,m,None,3.204353742000002
G,G,None,None,0.6037188199999974
D,D,None,None,4.040272109
G,G,None,None,3.4829931980000026
