chord,chord_root,chord_triad,chord_addition,chord_duration
C#m,C#,m,None,0.046439909
F#m6,F#,m,6,1.8111564629999999
C#m,C#,m,None,1.0216780040000002
Ab,Ab,None,None,0.9287981859999999
C#m,C#,m,None,1.8575963720000002
Ab,Ab,None,None,1.021678005
E,E,None,None,0.9287981859999999
B,B,None,None,1.0681179139999992
E,E,None,None,0.8359183670000014
B,B,None,None,2.8792743759999997
E,E,None,None,0.8823582769999998
B,B,None,None,0.9752380949999999
E,E,None,None,0.9752380949999999
B,B,None,None,1.021678005
E,E,None,None,0.9287981860000016
B,B,None,None,0.9287981859999981
E,E,None,None,0.8359183670000014
A,A,None,None,0.5108390019999973
B,B,None,None,0.557278912000001
C#m,C#,m,None,0.9287981860000016
B,B,None,None,0.9752380949999981
E,E,None,None,0.8823582770000016
F#m,F#,m,None,0.9287981859999981
E,E,None,None,0.4643990930000008
B,B,None,None,0.8359183670000014
E,E,None,None,0.5572789119999975
A6,A,None,6,2.8792743760000015
B,B,None,None,0.6037188210000011
E,E,None,None,0.4179591839999972
C#m,C#,m,None,0.9752380950000017
Ebm7b5,Eb,m7b,5,1.9040362810000033
C#m,C#,m,None,0.9752380949999946
Ab,Ab,None,None,0.9287981860000016
C#m,C#,m,None,1.8575963720000033
Ab,Ab,None,None,1.0216780049999983
E,E,None,None,0.9752380950000017
B,B,None,None,1.0681179139999983
E,E,None,None,0.8359183669999979
B7,B,None,7,2.832834466999998
E,E,None,None,0.9287981860000016
B,B,None,None,0.9752380950000017
E,E,None,None,0.9752380959999982
B,B,None,None,0.8823582759999979
E,E,None,None,1.0681179140000054
B,B,None,None,0.8823582769999945
E,E,None,None,0.7430385480000012
A,A,None,None,0.6037188210000011
B,B,None,None,0.6037188210000011
C#m,C#,m,None,0.9287981860000016
B,B,None,None,0.9752380950000017
E,E,None,None,0.9287981859999945
B7,B,None,7,0.8823582770000016
E,E,None,None,0.6501587300000011
B,B,None,None,0.7430385489999978
E,E,None,None,0.5108390020000044
A6,A,None,6,2.8792743769999944
