chord,chord_root,chord_triad,chord_addition,chord_duration
E,E,None,None,2.136235828
F,F,None,None,1.6718367340000002
E,E,None,None,2.136235828
F,F,None,None,1.578956916
E,E,None,None,2.2291156459999995
F,F,None,None,1.4860770980000009
E,E,None,None,2.1826757370000003
F,F,None,None,1.6253968249999993
Gm,G,m,None,9.705941043000001
Bb,Bb,None,None,0.6965986399999977
F,F,None,None,1.0216780040000017
G7,G,None,7,9.427301587999999
Bb,Bb,None,None,0.9287981860000016
F,F,None,None,1.0216780040000017
Gm,G,m,None,9.287981859999995
Bb,Bb,None,None,1.0216780040000017
E,E,None,None,0.9752380950000017
F,F,None,None,1.4860770979999955
E,E,None,None,2.182675737000004
F,F,None,None,1.6253968250000028
E,E,None,None,2.0897959189999966
F,F,None,None,1.6718367340000029
