chord,chord_root,chord_triad,chord_addition,chord_duration
G,G,None,None,1.253877551
D,D,None,None,0.8823582769999998
Dm,D,m,None,1.6718367340000002
G,G,None,None,0.8823582770000002
D,D,None,None,0.7894784579999996
Dm,D,m,None,1.6718367350000003
G,G,None,None,0.8823582759999997
Bm,B,m,None,0.7894784579999996
Dm,D,m,None,0.6037188210000011
Gm,G,m,None,1.950476191
D,D,None,None,0.7430385489999995
Dm,D,m,None,1.6718367339999993
Gm,G,m,None,0.8823582769999998
D,D,None,None,0.7430385490000013
Dm,D,m,None,0.7430385479999995
D,D,None,None,1.8575963719999997
Dm,D,m,None,2.461315193000001
G,G,None,None,0.882358276999998
D,D,None,None,0.7894784580000014
Dm,D,m,None,1.2538775509999986
Gm,G,m,None,1.3003174600000023
D,D,None,None,0.7894784579999978
F6,F,None,6,1.6253968250000028
G,G,None,None,0.882358276999998
D,D,None,None,0.8823582770000016
Dm,D,m,None,1.5789569159999992
D,D,None,None,0.9287981859999981
Dm,D,m,None,2.321995465000004
D,D,None,None,1.0216780039999946
G,G,None,None,0.6037188210000011
D,D,None,None,4.3189115650000005
Gmaj7,G,maj,7,0.6965986390000012
D,D,None,None,2.2755555560000005
G,G,None,None,2.693514739000001
D,D,None,None,4.3189115650000005
Gmaj7,G,maj,7,0.6965986390000012
D,D,None,None,2.229115645999997
Gmaj7,G,maj,7,3.9938322
D,D,None,None,2.3219954650000005
