chord,chord_root,chord_triad,chord_addition,chord_duration
F,F,None,None,0.046439909
Dm7,D,m,7,8.173424037
G,G,None,None,1.2538775510000004
Dm,D,m,None,0.6501587299999994
F,F,None,None,0.8823582759999997
Dm,D,m,None,2.7399546489999995
F,F,None,None,2.7863945580000014
D7,D,None,7,2.647074830000001
F,F,None,None,2.786394557999998
C6,C,None,6,0.6965986390000012
F6,F,None,6,0.6501587299999976
C6,C,None,6,0.557278912000001
Dm,D,m,None,0.7894784580000014
C,C,None,None,2.4148752830000006
Dm7,D,m,7,0.9752380949999981
C,C,None,None,2.043356009
Dm7,D,m,7,1.9969161000000035
C,C,None,None,3.4829931979999955
Dm7,D,m,7,2.043356009
C,C,None,None,3.529433105999999
Abdim,Ab,dim,None,2.2755555560000005
Am,A,m,None,0.32507936500000056
D,D,None,None,1.439637187999999
Am,A,m,None,0.6501587300000011
Gm7,G,m,7,0.6037188210000011
F,F,None,None,2.7399546489999977
Dm7,D,m,7,8.312743764000004
