chord,chord_root,chord_triad,chord_addition,chord_duration
Am,A,m,None,0.046439909
Em,E,m,None,3.204353742
C,C,None,None,0.557278911
F,F,None,None,0.8823582770000002
C,C,None,None,1.2074376419999995
G,G,None,None,0.8359183670000006
C,C,None,None,3.8545124720000006
Baug,B,aug,None,3.018594104
Am7,A,m,7,0.417959183999999
Baug,B,aug,None,3.0185941040000017
C,C,None,None,0.4179591839999972
G,G,None,None,2.9721541950000017
C,C,None,None,3.94739229
Baug,B,aug,None,3.018594103999998
Am,A,m,None,0.4643990930000008
C,C,None,None,3.250793651000002
G,G,None,None,3.343673468999995
C,C,None,None,3.9938322
Am,A,m,None,3.436553288000006
C,C,None,None,3.250793650999995
Gaug,G,aug,None,3.2972335600000022
C,C,None,None,1.0681179139999983
G,G,None,None,0.5572789110000045
C,C,None,None,2.414875283999997
F,F,None,None,3.3436734690000023
C6,C,None,6,3.297233559999995
