chord,chord_root,chord_triad,chord_addition,chord_duration
Am,A,m,None,1.486077098
E,E,None,None,1.578956916
C7,C,None,7,0.789478458
Am,A,m,None,0.789478458
C7,C,None,7,5.572789115
Am,A,m,None,1.2538775510000004
Em7,E,m,7,5.061950114
Dm7b5,D,m7b,5,0.8823582759999979
Am,A,m,None,0.510839003000001
Em,E,m,None,5.247709750000002
D7,D,None,7,0.9752380949999981
Am7,A,m,7,0.4643990930000008
D,D,None,None,2.4148752840000007
Am,A,m,None,0.46439909299999726
Em,E,m,None,2.507755102000001
Am,A,m,None,0.9752380950000017
Em7,E,m,7,5.804988661999996
Am,A,m,None,0.9287981860000016
G,G,None,None,2.832834466999998
Am,A,m,None,0.510839003000001
Em,E,m,None,2.5077551020000044
C,C,None,None,0.9752380949999946
Am,A,m,None,0.6501587300000011
G,G,None,None,2.3219954650000005
Am,A,m,None,0.6501587300000011
Em,E,m,None,2.182675737000004
C,C,None,None,0.9752380949999946
Am,A,m,None,0.6501587300000011
G,G,None,None,2.182675737000004
Adim,A,dim,None,0.46439909299999726
Dm,D,m,None,0.7894784579999978
Am7b5,A,m7b,5,1.3003174609999988
Dm7,D,m,7,1.4860770970000061
