chord,chord_root,chord_triad,chord_addition,chord_duration
C#,C#,None,None,0.046439909
Bm7b5,B,m7b,5,0.9287981860000001
Bb7,Bb,None,7,0.69659864
Ebm7,Eb,m,7,1.393197279
A7,A,None,7,1.3467573689999996
F#,F#,None,None,0.6965986400000004
C#,C#,None,None,0.557278911
Bbm7,Bb,m,7,1.578956916
Ebm7,Eb,m,7,0.6501587299999994
C#,C#,None,None,0.8823582769999998
Dmaj7,D,maj,7,3.529433107000001
Ab7,Ab,None,7,2.136235827
C#,C#,None,None,2.4148752840000007
B7,B,None,7,1.0681179139999983
Bb7,Bb,None,7,0.5108390020000009
Ebm,Eb,m,None,1.7182766439999995
F#m,F#,m,None,1.393197278999999
C#,C#,None,None,1.4396371880000025
Abm,Ab,m,None,0.7430385489999978
Bb7,Bb,None,7,0.4643990930000008
Ebm7,Eb,m,7,1.6253968249999993
A7,A,None,7,1.4396371880000025
F#,F#,None,None,0.6501587309999977
C#,C#,None,None,0.5572789110000009
Ddim,D,dim,None,1.6718367349999994
Ebm7,Eb,m,7,1.3467573689999988
C#,C#,None,None,1.718276644000003
Ebm7b5,Eb,m7b,5,1.764716553999996
Daug,D,aug,None,0.6037188210000011
F#6,F#,None,6,1.3931972780000024
Ab7,Ab,None,7,0.8823582770000016
C#,C#,None,None,2.089795918
Bm7b5,B,m7b,5,0.7894784589999944
Bb7,Bb,None,7,0.46439909200000073
Ebm,Eb,m,None,1.6253968259999994
F#m6,F#,m,6,1.2538775510000022
C#,C#,None,None,1.6253968250000028
Abm,Ab,m,None,0.6037188210000011
Bb7,Bb,None,7,0.4179591839999972
Ebm7b5,Eb,m7b,5,1.7182766439999995
A7,A,None,7,1.486077096999999
Ab7,Ab,None,7,0.6037188210000011
C#,C#,None,None,0.46439909299999726
C#6,C#,None,6,1.7647165529999995
Ebm7,Eb,m,7,1.0681179140000054
C#,C#,None,None,0.510839003000001
Ebm,Eb,m,None,2.786394556999994
Ab7,Ab,None,7,1.346757370000006
