chord,chord_root,chord_triad,chord_addition,chord_duration
C,C,None,None,0.743038549
Eb,Eb,None,None,3.250793651
Ebmaj7,Eb,maj,7,2.972154195
Eb6,Eb,None,6,1.7182766439999995
Cm,C,m,None,2.739954648000001
Eb6,Eb,None,6,7.29106576
Ebmaj7,Eb,maj,7,1.9040362809999998
F7,F,None,7,1.5789569159999992
F6,F,None,6,1.0681179139999983
Dm7b5,D,m7b,5,3.668752834000003
Cm,C,m,None,3.7616326529999995
Gm7,G,m,7,2.229115646999997
Ebmaj7,Eb,maj,7,1.7647165529999995
F,F,None,None,4.411791383000001
Dm7,D,m,7,2.647074830000001
Cm7,C,m,7,3.9938322
Bb6,Bb,None,6,3.482993196999999
Eb6,Eb,None,6,0.9287981860000016
Bb,Bb,None,None,3.250793651000002
F,F,None,None,0.6037188199999974
Bb,Bb,None,None,1.7182766439999995
Cm,C,m,None,2.2291156470000004
