chord,chord_root,chord_triad,chord_addition,chord_duration
F#,F#,None,None,0.046439909
F#6,F#,None,6,2.136235828
Bmaj7,B,maj,7,1.8575963720000002
C#7,C#,None,7,1.2538775510000004
Bbm,Bb,m,None,0.46439909299999993
Bmaj7,B,maj,7,0.6501587299999994
Abm,Ab,m,None,0.6965986390000003
C#6,C#,None,6,0.4179591839999999
Ebm,Eb,m,None,0.5572789120000001
Abm7,Ab,m,7,0.6037188209999993
Fdim,F,dim,None,0.5572789110000009
F#maj7,F#,maj,7,0.3715192740000006
B,B,None,None,0.3715192749999989
F7,F,None,7,0.7430385489999995
C#7,C#,None,7,0.32507936500000056
F#,F#,None,None,1.7182766439999995
Ab7,Ab,None,7,0.8823582760000015
F#,F#,None,None,0.975238096
Cm7b5,C,m7b,5,1.068117913
Fm,F,m,None,0.6965986399999995
C#,C#,None,None,0.7430385490000013
Ab,Ab,None,None,1.439637187999999
Bbm,Bb,m,None,0.6965986389999976
F#,F#,None,None,2.043356009
Ab,Ab,None,None,1.160997733000002
C#6,C#,None,6,0.9752380949999981
Ebm,Eb,m,None,5.108390023000002
Fm,F,m,None,0.4179591830000007
F#maj7,F#,maj,7,1.1145578229999984
Ebm,Eb,m,None,0.6501587310000012
F7,F,None,7,0.5108390020000009
Dm,D,m,None,0.6037188209999975
Ebm,Eb,m,None,0.5572789109999974
B,B,None,None,0.7430385490000049
C#7,C#,None,7,0.46439909299999726
F#,F#,None,None,0.6037188210000011
Bmaj7,B,maj,7,0.5108390019999973
Abm,Ab,m,None,0.6965986400000048
Bb7,Bb,None,7,0.4179591830000007
Bbaug,Bb,aug,None,0.650158729999994
Abm7,Ab,m,7,0.510839003000001
E,E,None,None,0.5572789110000045
F#7,F#,None,7,0.6037188210000011
Ebm,Eb,m,None,0.603718820999994
Fm7,F,m,7,0.6037188210000011
Dm,D,m,None,0.3715192740000006
Eb,Eb,None,None,0.37151927500000426
Ebmaj7,Eb,maj,7,0.6965986389999941
Dm6,D,m,6,0.835918367000005
Bb7,Bb,None,7,1.114557823999995
Ebm,Eb,m,None,1.1609977320000056
Fm,F,m,None,2.2755555560000005
Bb7,Bb,None,7,1.0681179129999947
Ebm,Eb,m,None,1.2538775510000022
Cm,C,m,None,1.9040362819999999
C#maj7,C#,maj,7,0.7430385480000012
Am,A,m,None,1.3467573699999988
Cm7b5,C,m7b,5,0.7894784579999978
Ebm7,Eb,m,7,2.9721541950000017
Bbm,Bb,m,None,1.439637187999999
F,F,None,None,1.393197278999999
