chord,chord_root,chord_triad,chord_addition,chord_duration
Bm,B,m,None,0.046439909
Em,E,m,None,4.365351474
B,B,None,None,1.486077098
B7,B,None,7,0.6037188210000002
Gmaj7,G,maj,7,1.7182766440000004
Em,E,m,None,1.8111564619999996
C#m6,C#,m,6,1.3931972790000007
Gm6,G,m,6,0.9752380949999999
Em,E,m,None,0.7430385489999995
F#7,F#,None,7,1.6718367349999994
Gdim,G,dim,None,1.0681179140000001
F#7,F#,None,7,1.6253968249999993
Bm,B,m,None,0.8359183670000014
Em,E,m,None,3.7151927439999994
F#m7,F#,m,7,1.486077097999999
D,D,None,None,1.160997732000002
G6,G,None,6,0.6501587299999976
G,G,None,None,1.8111564630000032
C#m7b5,C#,m7b,5,1.6718367339999993
G6,G,None,6,1.2538775509999986
Bm7,B,m,7,1.9040362819999999
A7,A,None,7,0.8359183670000014
A,A,None,None,0.8823582770000016
Abm6,Ab,m,6,0.9287981859999945
Dm,D,m,None,1.0216780040000017
A7,A,None,7,1.9040362810000033
D,D,None,None,2.4613151929999972
F#aug,F#,aug,None,2.182675737000004
Bm,B,m,None,1.4860770979999955
F#m,F#,m,None,1.7647165529999995
Abm7,Ab,m,7,1.8111564619999996
Bm,B,m,None,1.0681179140000054
F#m,F#,m,None,1.3003174609999988
D6,D,None,6,0.4179591830000007
Fm6,F,m,6,0.8823582769999945
Abdim,Ab,dim,None,0.7894784580000049
C#7,C#,None,7,1.9040362809999962
F#,F#,None,None,1.2074376420000021
C#m6,C#,m,6,2.4613151929999972
Bm,B,m,None,1.1145578230000055
