chord,chord_root,chord_triad,chord_addition,chord_duration
F,F,None,None,0.046439909
Em,E,m,None,1.532517007
G7,G,None,7,1.3467573699999997
Fmaj7,F,maj,7,1.3931972789999998
Gm,G,m,None,1.3931972790000007
C6,C,None,6,1.6253968249999993
Gm,G,m,None,1.532517007
C6,C,None,6,1.4396371880000007
F,F,None,None,1.1609977320000002
C,C,None,None,5.990748299999998
Dm7,D,m,7,3.065034013000002
Bb,Bb,None,None,0.9752380959999982
C7,C,None,7,2.3219954640000005
C6,C,None,6,0.9287981860000016
F,F,None,None,1.6253968259999994
Am,A,m,None,1.9504761899999998
Gm,G,m,None,1.2074376419999986
Dm7,D,m,7,4.690430839000001
Am,A,m,None,2.182675737000004
Dm,D,m,None,0.7430385489999978
Gm7,G,m,7,2.136235827
C,C,None,None,2.786394557999998
C7,C,None,7,2.043356009
F,F,None,None,0.6965986399999977
Dm6,D,m,6,1.1145578230000055
C,C,None,None,1.393197278999999
Dm7,D,m,7,2.647074830000001
Bdim,B,dim,None,3.0185941039999946
F6,F,None,6,2.3219954650000005
C,C,None,None,0.5108390020000044
