chord,chord_root,chord_triad,chord_addition,chord_duration
Abm,Ab,m,None,3.111473923
Ab,Ab,None,None,5.897868481
Eb,Eb,None,None,2.600634920000001
Ab,Ab,None,None,0.7430385489999995
Cm7,C,m,7,2.1362358280000002
C7,C,None,7,2.1826757370000003
Eb,Eb,None,None,2.3219954640000005
C,C,None,None,0.6037188209999975
Bb6,Bb,None,6,0.6037188210000011
Cmaj7,C,maj,7,0.9287981860000016
Cm,C,m,None,2.972154194999998
Cmaj7,C,maj,7,1.7647165529999995
Gm,G,m,None,3.3901133790000024
Cm,C,m,None,0.6501587299999976
Bb6,Bb,None,6,1.9969161
Cm,C,m,None,0.8359183669999979
Gm7,G,m,7,4.8761904770000015
Cm,C,m,None,1.0681179130000018
Bb6,Bb,None,6,2.3219954650000005
Dm7b5,D,m7b,5,0.6501587300000011
Ebmaj7,Eb,maj,7,0.7430385489999978
Gm7,G,m,7,0.6037188210000011
Cm7,C,m,7,1.439637187999999
Cmaj7,C,maj,7,1.6253968259999994
Cm7,C,m,7,7.058866213000002
Cmaj7,C,maj,7,1.5789569159999957
