chord,chord_root,chord_triad,chord_addition,chord_duration
Dm,D,m,None,0.046439909
Bbmaj7,Bb,maj,7,14.442811792
Cm6,C,m,6,0.7894784579999996
Dm,D,m,None,0.7894784579999996
F#m,F#,m,None,3.390113377999999
Bbmaj7,Bb,maj,7,0.2786394560000005
Am7,A,m,7,1.3931972790000025
Dm,D,m,None,0.5572789119999975
Bbmaj7,Bb,maj,7,8.59138322
Am7,A,m,7,1.393197278999999
Dm,D,m,None,0.6501587300000047
Am,A,m,None,3.0185941039999946
Dm,D,m,None,1.2074376420000021
G6,G,None,6,1.2538775510000022
Am7,A,m,7,1.253877550999995
Dmaj7,D,maj,7,1.0216780040000017
G,G,None,None,0.8359183680000015
A7,A,None,7,1.7647165529999995
D,D,None,None,0.9287981860000016
C,C,None,None,1.0216780039999946
Am7,A,m,7,1.393197279000006
G6,G,None,6,1.950476191
G7,G,None,7,1.3003174599999952
Emaj7,E,maj,7,0.557278912000001
A,A,None,None,1.9504761900000034
E7,E,None,7,0.6965986399999977
Am,A,m,None,0.6965986390000012
G,G,None,None,1.0681179139999983
C6,C,None,6,0.7894784579999978
Em,E,m,None,0.9752380950000017
Am,A,m,None,0.6501587300000011
Em7,E,m,7,1.2538775510000022
Fmaj7,F,maj,7,0.6965986399999977
