chord,chord_root,chord_triad,chord_addition,chord_duration
Ab,Ab,None,None,0.046439909
C#,C#,None,None,0.371519275
Ab,Ab,None,None,4.040272109
Eb7,Eb,None,7,1.3467573690000005
Ab,Ab,None,None,0.46439909299999993
Bb7,Bb,None,7,0.9752380949999999
Eb,Eb,None,None,0.6037188210000002
Ab,Ab,None,None,1.7182766440000004
C#,C#,None,None,0.46439909299999904
Ab,Ab,None,None,3.7616326529999995
Eb7,Eb,None,7,1.3003174610000006
Ab,Ab,None,None,0.4179591830000007
Bb7,Bb,None,7,0.9287981859999999
Eb,Eb,None,None,0.6037188210000011
Em,E,m,None,2.043356009
Eb,Eb,None,None,0.5108390019999973
C#m,C#,m,None,2.4148752840000007
Abm,Ab,m,None,0.4643990930000008
C#6,C#,None,6,0.4643990930000008
B6,B,None,6,1.0681179139999983
E,E,None,None,1.2538775510000022
Abm,Ab,m,None,3.6223129249999992
Bb,Bb,None,None,0.46439909299999726
Eb,Eb,None,None,0.4643990930000008
Ab,Ab,None,None,0.9287981860000016
C#,C#,None,None,0.4179591830000007
Ab,Ab,None,None,4.179591836999997
Cm,C,m,None,1.4860770980000026
C#6,C#,None,6,0.6037188199999974
Eb7,Eb,None,7,0.9287981860000016
Ab,Ab,None,None,0.4179591839999972
C#,C#,None,None,1.5325170070000027
Ab,Ab,None,None,0.8823582759999979
C#6,C#,None,6,2.3684353750000042
Eb7,Eb,None,7,1.1145578229999984
Ab,Ab,None,None,0.7894784579999978
Eb,Eb,None,None,1.7647165529999995
Ab6,Ab,None,6,1.393197278999999
