chord,chord_root,chord_triad,chord_addition,chord_duration
C#m,C#,m,None,0.046439909
F#6,F#,None,6,2.507755102
Eb,Eb,None,None,0.975238096
C#m,C#,m,None,1.3467573689999996
F#,F#,None,None,1.950476191
Abm7b5,Ab,m7b,5,0.8359183670000006
C#7,C#,None,7,1.532517007
Bm,B,m,None,0.8823582759999997
F#m7,F#,m,7,0.7430385489999995
Adim,A,dim,None,0.7894784580000014
E,E,None,None,0.7894784579999996
F#7,F#,None,7,0.8359183679999997
Ab7,Ab,None,7,0.8359183669999997
C#m,C#,m,None,0.4643990930000008
Em,E,m,None,1.9969161
Eb,Eb,None,None,1.0216780039999982
Abm,Ab,m,None,1.2074376420000021
Ab,Ab,None,None,2.6006349209999975
Bbm7,Bb,m,7,1.114557823000002
Abm,Ab,m,None,2.507755102000001
Ebm7b5,Eb,m7b,5,3.482993196999999
Ab,Ab,None,None,0.7894784580000014
C#,C#,None,None,0.7894784579999978
E6,E,None,6,0.8823582770000016
Gdim,G,dim,None,0.9752380949999981
Em6,E,m,6,0.6965986399999977
Eb7,Eb,None,7,1.6253968250000028
Abm,Ab,m,None,1.2538775510000022
C#7,C#,None,7,1.6718367349999994
F#m,F#,m,None,0.9287981860000016
Am,A,m,None,0.9752380949999946
B7,B,None,7,0.7430385490000049
E,E,None,None,0.9287981859999945
A,A,None,None,1.6718367340000029
F#,F#,None,None,0.557278912000001
B,B,None,None,0.3715192740000006
Ab7,Ab,None,7,0.6037188210000011
C#m,C#,m,None,2.043356009
Ebm7,Eb,m,7,0.9287981859999945
C#7,C#,None,7,0.835918367000005
F#m,F#,m,None,0.8359183679999944
F#dim,F#,dim,None,5.247709750000006
F#m7,F#,m,7,0.8359183679999944
Cdim,C,dim,None,0.7894784580000049
C#m,C#,m,None,0.8359183669999979
C#7,C#,None,7,1.0681179139999983
F#m,F#,m,None,0.6501587300000011
