chord,chord_root,chord_triad,chord_addition,chord_duration
Ab,Ab,None,None,0.046439909
Fm,F,m,None,3.111473923
Abmaj7,Ab,maj,7,0.4179591839999999
Ab,Ab,None,None,6.083628117999999
Gm7b5,G,m7b,5,1.0681179140000001
Cm7,C,m,7,0.5108390020000009
Ab,Ab,None,None,1.2538775510000004
Bb7,Bb,None,7,0.8823582769999998
Eb6,Eb,None,6,1.068117913
Abmaj7,Ab,maj,7,1.021678005
Bb6,Bb,None,6,0.9287981859999999
Ebmaj7,Eb,maj,7,1.439637187999999
Fm,F,m,None,1.9969161
Gm,G,m,None,1.7182766439999995
Ab,Ab,None,None,0.6501587300000011
Bb6,Bb,None,6,0.6965986390000012
Abmaj7,Ab,maj,7,0.7894784579999978
Fm,F,m,None,0.6037188210000011
Eb,Eb,None,None,1.3467573699999988
Ab,Ab,None,None,2.3684353740000006
Eb,Eb,None,None,0.6501587300000011
Ddim,D,dim,None,1.8575963719999997
Ebmaj7,Eb,maj,7,0.5108390020000009
Fm,F,m,None,1.7647165539999996
Gm,G,m,None,0.5572789109999974
Eb,Eb,None,None,1.3003174609999988
Dm7b5,D,m7b,5,5.433469387000002
Ebmaj7,Eb,maj,7,0.557278912000001
F7,F,None,7,2.275555554999997
F#maj7,F#,maj,7,1.2074376420000021
Eb7,Eb,None,7,0.7894784579999978
F,F,None,None,1.2074376420000021
Bbm,Bb,m,None,1.3003174600000023
Abaug,Ab,aug,None,2.043356009
C#6,C#,None,6,0.4179591839999972
Gm,G,m,None,1.2074376420000021
C,C,None,None,0.5572789109999974
Fm,F,m,None,1.2538775510000022
C#maj7,C#,maj,7,0.6965986399999977
Gdim,G,dim,None,1.3003174600000023
C,C,None,None,1.7182766439999995
Bb,Bb,None,None,0.7894784579999978
C,C,None,None,0.6037188210000011
Gm7b5,G,m7b,5,0.7894784579999978
