chord,chord_root,chord_triad,chord_addition,chord_duration
G,G,None,None,0.185759637
C,C,None,None,3.575873016
G,G,None,None,3.0650340139999996
Bm7b5,B,m7b,5,2.739954648000001
C6,C,None,6,0.8359183679999997
Cmaj7,C,maj,7,1.486077096999999
G,G,None,None,1.6718367350000012
C,C,None,None,3.529433106000001
G,G,None,None,3.0185941049999983
C,C,None,None,3.6223129249999992
Gmaj7,G,maj,7,2.8328344670000014
G,G,None,None,0.7430385489999978
C,C,None,None,3.3901133780000023
G,G,None,None,2.7399546490000013
C,C,None,None,3.6687528339999957
G,G,None,None,2.9721541950000017
C,C,None,None,3.6687528349999994
G6,G,None,6,1.6253968250000028
Cmaj7,C,maj,7,3.250793650999995
G,G,None,None,1.8111564630000032
E,E,None,None,1.532517005999999
Em7,E,m,7,0.9287981860000016
D,D,None,None,0.8823582770000016
C7,C,None,7,1.6253968249999957
Dm,D,m,None,1.3467573699999988
G,G,None,None,0.5108390020000044
D,D,None,None,0.6965986399999977
E,E,None,None,0.8359183669999979
